año;mes;Dia;hora;New York;Lluvia
2014;4;28;12;scattered clouds;0
2014;4;28;13;scattered clouds;0
2014;4;28;14;broken clouds;0
2014;4;28;15;broken clouds;0
2014;4;28;16;broken clouds;0
2014;4;28;17;broken clouds;0
2014;4;28;18;broken clouds;0
2014;4;28;19;broken clouds;0
2014;4;28;20;broken clouds;0
2014;4;28;21;broken clouds;0
2014;4;28;22;broken clouds;0
2014;4;28;23;light rain;1
2014;4;29;0;overcast clouds;0
2014;4;29;1;overcast clouds;0
2014;4;29;2;overcast clouds;0
2014;4;29;3;overcast clouds;0
2014;4;29;4;overcast clouds;0
2014;4;29;5;overcast clouds;0
2014;4;29;6;overcast clouds;0
2014;4;29;7;overcast clouds;0
2014;4;29;8;overcast clouds;0
2014;4;29;9;overcast clouds;0
2014;4;29;10;overcast clouds;0
2014;4;29;11;overcast clouds;0
2014;4;29;12;overcast clouds;0
2014;4;29;13;sky is clear;0
2014;4;29;14;sky is clear;0
2014;4;29;15;sky is clear;0
2014;4;29;16;overcast clouds;0
2014;4;29;17;overcast clouds;0
2014;4;29;18;overcast clouds;0
2014;4;29;19;overcast clouds;0
2014;4;29;20;overcast clouds;0
2014;4;29;21;overcast clouds;0
2014;4;29;22;overcast clouds;0
2014;4;29;23;overcast clouds;0
2014;4;30;0;light rain;1
2014;4;30;1;light rain;1
2014;4;30;2;light rain;1
2014;4;30;3;moderate rain;1
2014;4;30;4;moderate rain;1
2014;4;30;5;moderate rain;1
2014;4;30;6;moderate rain;1
2014;4;30;7;moderate rain;1
2014;4;30;8;moderate rain;1
2014;4;30;9;heavy intensity rain;1
2014;4;30;10;heavy intensity rain;1
2014;4;30;11;heavy intensity rain;1
2014;4;30;12;heavy intensity rain;1
2014;4;30;13;heavy intensity rain;1
2014;4;30;14;heavy intensity rain;1
2014;4;30;15;heavy intensity rain;1
2014;4;30;16;heavy intensity rain;1
2014;4;30;17;heavy intensity rain;1
2014;4;30;18;heavy intensity rain;1
2014;4;30;19;heavy intensity rain;1
2014;4;30;20;heavy intensity rain;1
2014;4;30;21;very heavy rain;1
2014;4;30;22;very heavy rain;1
2014;4;30;23;very heavy rain;1
